problemData
maxChainLength,3
maxCycleLength,3
cycleBonus,0
endProblemData
rootNodes,4
r1
r2
r3
r4
endRootNodes
pairedNodes,18
p1
p2
p3
p4
p5
p6
p7
p8
p9
p10
p11
p12
p13
p14
p15
p16
p17
p18
endPairedNodes
terminalNodes,0
endTerminalNodes
edges,39
e1,p1,p8,1
e2,p1,p15,1
e3,p1,p16,1
e4,p2,p10,1
e5,p2,p15,1
e6,p2,p16,1
e7,p3,p15,1
e8,p3,p16,1
e9,p6,p10,1
e10,p6,p15,1
e11,p6,p16,1
e12,p6,p18,1
e13,p7,p8,1
e14,p7,p15,1
e15,p7,p16,1
e16,p8,p15,1
e17,p8,p16,1
e18,p8,p18,1
e19,p9,p4,1
e20,p9,p15,1
e21,p9,p16,1
e22,p13,p10,1
e23,p13,p15,1
e24,p13,p16,1
e25,p14,p15,1
e26,p14,p16,1
e27,p17,p6,1
e28,p17,p8,1
e29,p17,p15,1
e30,p17,p16,1
e31,p18,p13,1
e32,r3,p4,1
e33,r3,p15,1
e34,r3,p16,1
e35,r4,p10,1
e36,r4,p12,1
e37,r4,p15,1
e38,r4,p16,1
e39,r4,p18,1
endEdges
